,Total_papers,Cites_min,Cites_max,Cites_mean,Year_first,Year_last,Num_authors_min,Num_authors_max,Num_authors_mean,cpy_max,cpy_mean,Lifespan,Productivity,collab_cpy_mean_mean,collab_cpy_mean_max,collab_cpy_max_mean,collab_cpy_max_max
"Aalsma, L.",6,0,25,9.5,2017,2019,1,4,2.6666666666666665,8.333333333333334,3.2222222222222228,3,2.0,3.5393492549312064,6.873180062353178,28.375,69.33333333333333
"Aasen, D.",6,8,31,15.5,2012,2018,3,4,3.1666666666666665,6.0,3.0388888888888888,7,0.8571428571428571,3.947852083468765,8.114748677248675,20.559241103848947,68.33333333333333
"Aashish, S.",6,0,5,2.6666666666666665,2016,2019,2,4,2.5,1.6666666666666667,0.9444444444444444,4,1.5,0.7097824318906402,1.2239715681879848,8.535714285714286,16.714285714285715
"Abakumova, V.",7,0,7,1.8571428571428568,2017,2019,3,3,3.0,1.75,0.5357142857142857,3,2.333333333333333,0.7459617311028989,1.1456825396825396,4.642857142857143,6.7142857142857135
"Abalos, F.",3,0,13,4.666666666666667,2015,2018,1,4,2.333333333333333,2.1666666666666665,0.8333333333333334,4,0.75,2.0002776648635368,2.1701388888888893,5.3173076923076925,6.384615384615384
"Abarca, D.",9,0,67,19.777777777777782,2013,2018,2,6,4.222222222222221,9.571428571428571,3.1847883597883597,6,1.5,4.647805922000399,8.68,23.41557054057053,53.54166666666666
"Abarghouei Nejad, S.",3,0,2,0.6666666666666666,2015,2019,3,4,3.333333333333333,1.0,0.3333333333333333,5,0.6,1.2973045845991442,2.2403897480965145,5.0,8.666666666666666
"Abbar, S.",9,0,40,14.777777777777779,2015,2019,2,5,3.333333333333333,6.666666666666668,3.4166666666666665,5,1.8,3.3387730994579123,4.927149921740257,26.718526883744275,74.875
"Abbas, E.",3,0,19,10.0,2013,2018,1,5,2.6666666666666665,2.375,1.3154761904761905,6,0.5,1.2567158813743773,1.6888285881455798,8.55,15.5
"Abbas, J.",3,0,2,1.3333333333333333,2019,2019,3,4,3.333333333333333,1.0,0.6666666666666666,1,3.0,2.6238102828400898,3.910734463276836,11.375,13.75
"Abbasi, N.",11,0,14,5.181818181818182,2012,2019,2,4,2.9090909090909087,2.333333333333333,0.9691919191919192,8,1.375,1.426975629408425,1.7639719848053181,6.089999999999999,10.5
